全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
141305,141305000001 ,神奈川県川崎市,川崎市公文書館,カワサキシコウブンショカン,,,1399,,,141330,,神奈川県川崎市中原区宮内4-1-1,神奈川県,川崎市,中原区宮内,,,35.58413874,139.6493775,,,044-733-3933,,,,,2110051,,,,8:30:00,17:00:00,休館日は毎週月曜日、年末年始（12/29～1/3）、祝日（休日が月曜のときは直後の休日でない日）,(1)中間書庫としての文書管理（公文書の保存期間満了前に公文書館が集中管理し、情報公開や行政利用に即応する。）(2)保存期間満了前の公文書の散逸防止と歴史的公文書への移行をスムーズに行う。（歴史的公文書等の収集、保存及び情報提供。歴史を編むために必要な記録を保存し、閲覧に供する。行政評価材料となる市政の施策等の記録を保存し、閲覧に供する。）(3)歴史資料を教材とした各種講座・講演会を開催し、市民の川崎市の歴史・文化への関心を喚起する。,,,,,,,,,,,,,,,,,,http://www.city.kawasaki.jp/shisetsu/category/19-4-0-0-0-0-0-0-0-0.html,,,
141305,141305000002 ,神奈川県川崎市,川崎市役所本庁舎,カワサキシヤクショホンチョウシャ,,,1302,,,141313,,神奈川県川崎市川崎区宮本町1,神奈川県,川崎市,川崎区宮本町,,,35.53081025,139.7030271,,,044-200-2111 ,,,,,2108577,,,,8:30:00,17:00:00,休館日は土日、祝休日、年末年始（12/29～1/3）,,,,,,,,,,,,,,,,,,,https://www.city.kawasaki.jp/170/page/0000015935.html,,,
141305,141305000003 ,神奈川県川崎市,川崎市役所南庁舎,カワサキシヤクショミナミチョウシャ,,,1302,,,141313,,神奈川県川崎市川崎区東田町5-4,神奈川県,川崎市,川崎区東田町,,,35.52980979,139.7024033,,,044-200-2111 ,,,,,2100005,,,,8:30:00,17:00:00,休館日は土日、祝休日、年末年始（12/29～1/3）,,,,,,,,,,,,,,,,,,,https://www.city.kawasaki.jp/170/page/0000015950.html,,,
141305,141305000004 ,神奈川県川崎市,川崎市役所北庁舎,カワサキシヤクショキタチョウシャ,,,1302,,,141313,,神奈川県川崎市川崎区宮本町3-3,神奈川県,川崎市,川崎区宮本町,,,35.53193931,139.7035923,,,044-200-2111 ,,,,,2100004,,,,8:30:00,17:00:00,休館日は土日、祝休日、年末年始（12/29～1/3）,,,,,,,,,,,,,,,,,,,https://www.city.kawasaki.jp/170/page/0000015976.html,,,
141305,141305000005 ,神奈川県川崎市,かわさき市税事務所,カワサキシゼイジムショ,,,1399,,,141313,,神奈川県川崎市川崎区砂子1-8-9川崎御幸ビル1～4階,神奈川県,川崎市,川崎区砂子,,,35.53083129,139.7016525,,,044-200-3938,,,,,2100006,,,,8:30:00,17:00:00,休館日は土日、祝休日、年末年始（12/29～1/3）,市税事務所、事務室,,,,,,,,,,,,,,,,,,https://www.city.kawasaki.jp/230/page/0000020134.html,,,
141305,141305000006 ,神奈川県川崎市,しんゆり市税事務所,シンユリシゼイジムショ,,,1399,,,141372,,神奈川県川崎市麻生区万福寺1-2-2新百合トウェンティワン5階,神奈川県,川崎市,麻生区万福寺,,,35.60292038,139.5058251,,,044-543-8988,,,,,2150004,,,,8:30:00,17:00:00,休館日は土日、祝休日、年末年始（12/29～1/3）,市税事務所、事務室,,,,,,,,,,,,,,,,,,https://www.city.kawasaki.jp/230/page/0000020333.html,,,
141305,141305000007 ,神奈川県川崎市,こすぎ市税分室,コスギシゼイブンシツ,,,1399,,,141330,,神奈川県川崎市中原区小杉町3-245中原区役所3階,神奈川県,川崎市,中原区小杉町,,,35.57627671,139.6557525,,,044-744-3113,,,,,2110063,,,,8:30:00,17:00:00,休館日は土日、祝休日、年末年始（12/29～1/3）,市税事務所、事務室,,,,,,,,,,,,,,,,,,https://www.city.kawasaki.jp/230/page/0000020107.html,,,
141305,141305000008 ,神奈川県川崎市,みぞのくち市税事務所,ミゾノクチシゼイジムショ,,,1399,,,141348,,神奈川県川崎市高津区下作延2-7-60,神奈川県,川崎市,高津区下作延,,,35.59940977,139.6065328,,,044-820-6555,,,,,2130033,,,,8:30:00,17:00:00,休館日は土日、祝休日、年末年始（12/29～1/3）,市税事務所、事務室,,,,,,,,,,,,,,,,,,https://www.city.kawasaki.jp/230/page/0000020311.html,,,
141305,141305000009 ,神奈川県川崎市,川崎市藤子・Ｆ・不二雄ミュージアム,カワサキシフジコ・エフ・フジオミュージアム,Kawasaki City Fujiko・F・Fujio Museum,,802,,,141356,,神奈川県川崎市多摩区長尾2-8-1,神奈川県,川崎市,多摩区長尾,,,35.60992365,139.5734323,,,0570-055-245,,,,,2140023,,,,10:00:00,18:00:00,休館日は火曜日、年末年始（臨時開館あり）,「ドラえもん」などの名作を生み出した漫画家、藤子・F・不二雄の作品世界やメッセージを、幅広い世代に伝えていく文化施設です。展示室のほか、短編アニメを見ることができるFシアターや、作品にちなんだメニューを取り揃えたカフェ、限定商品満載のショップ等が楽しめます。,可,有,,有,有,,有,可,有,可,,有,有,有,否,,否,http://fujiko-museum.com/,,,本施設は日時指定による事前予約制の入館となります。（※チケットは、ミュージアム公式ホームページより購入いただけます。）
141305,141305000010 ,神奈川県川崎市,川崎市岡本太郎美術館,カワサキシオカモトタロウビジュツカン,"Taro Okamoto Museum of Art, Kawasaki",,802,,,141356,,神奈川県川崎市多摩区枡形7-1-5,神奈川県,川崎市,多摩区枡形,,,35.60806915,139.5574537,,,044-900-9898,,25okamoto@city.kawasaki.jp,,,2140032,,川崎市,火水木金土日,9:30:00,17:00:00,休館日は月曜日（月曜が祝日の場合は除く）、祝日の翌日（祝日の翌日が土日にあたる場合を除く）、年末年始,川崎市岡本太郎美術館は、本市ゆかりの芸術家・岡本太郎氏からのおよそ１８００点にのぼる作品等の寄贈をきっかけに設立され、岡本太郎と関連する近現代美術を扱う美術館として、展覧会やさまざまなイベント、教育普及活動等を通じて、芸術及び文化の発展に寄与することを目的としています。,可,有,,有,エレベータ有,,一部作品の音声ガイド有,可,,有,,有,有,有,展示室内飲食禁止、建物内飲料のみ可,有,可,http://www.taromuseum.jp/,,,入館は16:30まで。観覧料有(料金は展覧会ごとに異なります。)
141305,141305000011 ,神奈川県川崎市,川崎市市民ミュージアム,カワサキシシミンミュージアム,Kawasaki City Museum,,802,,,141372,,神奈川県川崎市麻生区上麻生6-15-2,神奈川県,川崎市,麻生区上麻生,,,35.58865996,139.6474754,,,044-712-2800,,,,,2150021,,,,,,,令和５年１０月に川崎市市民ミュージアムを仮設施設へ移転し、被災収蔵品の修復等を行いながら、市民の身近な多くの場所で企画展や出張形式での教育普及事業等等、博物館・美術館活動を実施しています。,,,,,,,,,,,,,,,,,,https://www.kawasaki-museum.jp/,,,令和５年１０月に仮設施設に移転
141305,141305000012 ,神奈川県川崎市,アートガーデンかわさき,アートガーデンカワサキ,ART GARDEN KAWASAKI,,802,,,141313,,神奈川県川崎市川崎区駅前本町12-1川崎駅前タワー・リバーク3階,神奈川県,川崎市,川崎区駅前本町,,,35.53193817,139.6985691,,,044-272-7366,,,,,2100007,,,火水木金土日,10:00:00,19:00:00,休館日は月曜日、年末年始,美術作品の展示等のための文化施設です。,可,有,,有,有,,,可,,可,,有,,有,可,,可,"http://www.kbz.or.jp/facility/artgarden/
",,,
141305,141305000013 ,神奈川県川崎市,川崎市国際交流センター,カワサキシコクサイコウリュウセンター,,,1305,,,141330,,神奈川県川崎市中原区木月祗園町2-2,神奈川県,川崎市,中原区木月祗園町,,,35.56834291,139.6486556,,,044-435-7000,,,,,2110033,,,,9:00:00,21:00:00,休館日は年末年始 （12/29?1/3）、設備点検日,市民の国際理解を増進し、国際的な文化交流や市民交流を通じて相互理解を深めるための活動拠点です。会議室などの利用のほか、外国人の窓口相談や情報提供、イベント開催なども行っています。,可,有,,有,有,,,可,,可,有,,,有,可,,可,https://www.kian.or.jp/,,,
141305,141305000014 ,神奈川県川崎市,川崎能楽堂,カワサキノウガクドウ,KAWASAKI NOH THEATER,川崎能楽堂,1305,,,141313,,神奈川県川崎市川崎区日進町1-37,神奈川県,川崎市,川崎区日進町,,,35.52753873,139.6947484,,,044-222-7995,,,,,2100024,3020005010304,,月火木金土日,9:00:00,21:00:00,休館日は年末年始（12/29～1/3）、水曜日,能・狂言をはじめとする音楽、演劇等の発表・鑑賞のための文化施設です。,可,,,有,,,,可,,可,,,,,否,,,https://www.kbz.or.jp/facility/noh/,,,
141305,141305000015 ,神奈川県川崎市,ミューザ川崎シンフォニーホール,ミューザカワサキシンフォニーホール,MUZA Kawasaki Symphony Hall,,1016,,,141321,,神奈川県川崎市幸区大宮町1310,神奈川県,川崎市,幸区大宮町,,,35.53098051,139.6946924,,,044-520-0100,,,,,2128557,,,,9:00:00,22:00:00,休館日は年末年始（12/29～1/3）、保守点検日,2004年7月にオープン。国内最大級のパイプオルガンを備え、ホールは、らせん状の客席が360度ステージを囲むワインヤード方式を採用。ステージと客席に一体感が生まれます。世界水準のオーケストラ演奏など、多彩なジャンルのコンサートが行われています。,可,有,,有,有,,,可,,可,有,有,,有,ホール内不可,,イベントによる,http://www.kawasaki-sym-hall.jp/,,,
141305,141305000016 ,神奈川県川崎市,ラゾーナ川崎プラザソル,ラゾーナカワサキプラザソル,LAZONA KAWASAKI Plazasol,,1012,,,141321,,神奈川県川崎市幸区堀川町72-1ラゾーナ川崎プラザ5F,神奈川県,川崎市,幸区堀川町,,,35.53321195,139.6956299,,,044-874-8501,,info@plazasol.jp,,,2128576,,,,10:00:00,22:00:00,ホール利用の無い日の終了時刻は20:00。原則年中無休※施設保守点検日等は休館,劇場用LED照明設備と８段式のロールバックチェアシステムを有する、レイアウト自在の多目的ホールで、音楽、演劇等の発表・鑑賞のための文化施設です。,可,,,有,有,,,可,,,,,,有,可,,可,http://www.plazasol.jp/,,,
141305,141305000017 ,神奈川県川崎市,男女共同参画センター（すくらむ２１）,ダンジョキョウドウサンカクセンター（スクラムニジュウイチ）,,,1305,,,141348,,神奈川県川崎市高津区溝口2-20-1,神奈川県,川崎市,高津区溝口,,,35.60454896,139.6091758,,,044-813-0808,,,,,2130001,,,,8:30:00,21:30:00,休館日は毎月第3火曜日、年末年始(12/29～1/3),"  川崎市男女共同参画センターは、川崎市における男女平等施策を推進するための拠点施設です。
  青少年の主体的な舞台芸術活動の促進に寄与することを目的としてホールを付設しています。",可,有,,有,有,有,有,可,,可,有,,有,有,可,,可,https://www.scrum21.or.jp/,,,
141305,141305000018 ,神奈川県川崎市,川崎市総合自治会館,カワサキシソウゴウジチカイカン,,,1305,,,141330,,神奈川県川崎市中原区小杉町3-600 コスギ サード アヴェニュー 4階,神奈川県,川崎市,中原区小杉町,,,35.57505912,139.6553035,,,044-733-1232,,,,,2110063,,,月火水木金土日,9:00:00,21:00:00,休館日は第3月曜日（施設点検日）、年末年始（年末年始(12/29～1/3),川崎市における市民自治活動の全市拠点として、市民の学習やふれあいの場として広く利用されている。,可,有,,有,有,,,有,,有,,有,有,有,否,,有,https://www.jichizaidan.or.jp/,,,
141305,141305000019 ,神奈川県川崎市,新百合トウェンティワンホール,シンユリトウェンティワンホール,Shinyuri Twenty-One Hall,,1012,,,141372,,神奈川県川崎市麻生区万福寺1-2-2　新百合21ビル地下2階,神奈川県,川崎市,麻生区万福寺,,,35.60297707,139.505905,,,044-952-5000,,,,,2150004,,,,9:00:00,21:00:00,休館日は年末年始(12/29～1/3)、毎月最終月曜日（祝日の場合は翌日）,講演会や展示会、演劇等のための文化施設です。,,,,有,有,,,可,,可,,有,有,有,可,,可,http://shinyuri21hall.jp/,,,
141305,141305000020 ,神奈川県川崎市,川崎市民プラザ（指定都市記念市民プラザ）,カワサキシミンプラザ（シテイトシキネンシミンプラザ）,,,1305,,,141348,,神奈川県川崎市高津区新作1-19-1,神奈川県,川崎市,高津区新作,,,35.58491848,139.6105082,,,044-888-3131,,,,,2130014,,,,9:00:00,21:30:00,休館日は年末年始（12/29～1/3）、保守点検日,市民の健康の増進及び文化の振興を図るとともに、市民相互の交流の機会を提供することを目的とした公の施設です。,可,有,,有,有,有,有,可,有,可,有,有,有,有,可,,可,https://www.kawasaki-shiminplaza.jp/,,,
