qid,text,a_text,a_blue,a_gold,a_violet,a_green,b_text,b_blue,b_gold,b_violet,b_green
Q1,最近の朝の状態は？,"起きてすぐ考え事をしている",2,0,1,0,"起きてから体を感じている",0,0,1,2
Q2,何も予定がない時間は？,"少し不安になる",1,0,2,0,"安心する",0,0,1,2
Q3,疲れを感じるのは？,"頭を使いすぎたあと",2,0,1,0,"体を動かしたあと",0,2,0,1
Q4,最近多いのは？,"考えすぎて止まる",2,0,1,0,"動きながら考える",0,2,0,1
Q5,静かな場所にいると？,"考えが増える",1,0,2,0,"落ち着く",0,0,1,2
Q6,一人の時間は？,"必要だけど落ち着かない",1,0,2,0,"回復する",0,0,1,2
Q7,最近の集中力は？,"すぐ散る",1,0,2,0,"一定保てる",0,2,0,1
Q8,呼吸を意識すると？,"浅いと感じる",0,0,1,2,"深くなる",1,0,0,2
Q9,体の感覚で近いのは？,"重たい",0,0,1,2,"軽い",1,0,0,2
Q10,今のペースは？,"早すぎる",1,1,1,0,"ちょうどいい",0,1,0,2
Q11,予定が増えると？,"頭が疲れる",2,0,1,0,"体が疲れる",0,2,0,1
Q12,休むときは？,"考えを止めたい",2,0,1,0,"体を休めたい",0,2,0,1
Q13,最近の姿勢は？,"固まりがち",0,0,1,2,"ゆるんでいる",1,0,0,2
Q14,音のない時間は？,"落ち着かない",1,0,2,0,"安心する",0,0,1,2
Q15,人と会った後は？,"情報で疲れる",2,0,1,0,"気持ちが動く",0,0,2,1
Q16,目の疲れは？,"強い",2,0,1,0,"あまりない",0,1,0,2
Q17,最近の睡眠は？,"浅い",0,0,1,2,"深い",1,0,0,2
Q18,体を動かすと？,"疲れる",0,2,0,1,"スッキリする",0,0,1,2
Q19,今の緊張感は？,"常にある",1,1,1,0,"時々抜ける",0,0,1,2
Q20,今日の体調は？,"重い",0,0,1,2,"安定している",1,1,0,1
Q21,空き時間ができると？,"スマホを見る",1,0,1,0,"何もしない",0,0,1,2
Q22,返信は？,"すぐ返す",0,2,0,1,"後で返す",1,0,1,0
Q23,予定の決め方は？,"詰め込む",0,2,0,1,"余白を残す",1,0,0,2
Q24,休みの日は？,"用事を入れる",0,2,0,1,"空けておく",1,0,0,2
Q25,迷ったときは？,"情報を集める",2,0,1,0,"感覚で選ぶ",0,0,2,1
Q26,作業前は？,"段取りを考える",2,1,0,0,"すぐ始める",0,2,0,1
Q27,途中で止まるのは？,"考えすぎたとき",2,0,1,0,"疲れたとき",0,0,1,2
Q28,行動の基準は？,"効率",1,2,0,0,"心地よさ",0,0,2,1
Q29,一日の終わりは？,"振り返る",2,0,1,0,"切り替える",0,0,1,2
Q30,片付けは？,"後回し",0,1,0,2,"すぐする",0,2,0,1
Q31,最近の感情は？,"揺れやすい",0,0,2,1,"安定している",1,1,0,1
Q32,小さな刺激に？,"反応する",0,0,2,1,"流せる",1,1,0,1
Q33,人の言葉は？,"引っかかる",0,0,2,1,"残らない",1,1,0,1
Q34,嬉しいことがあった後？,"すぐ戻る",1,1,0,1,"余韻がある",0,0,2,1
Q35,最近多いのは？,"焦り",0,1,2,0,"安心",1,0,0,2
Q36,気分転換は？,"必要",0,0,1,2,"あまり要らない",1,1,0,1
Q37,感情表現は？,"内に溜める",1,0,2,0,"外に出す",0,1,2,0
Q38,悲しい話題に？,"影響される",0,0,2,1,"距離を取れる",1,1,0,1
Q39,今の心は？,"ざわつく",0,0,2,1,"静か",2,0,0,1
Q40,感情の切替は？,"遅い",0,0,2,1,"早い",1,2,0,0
Q41,考えは？,"止まらない",2,0,1,0,"必要な時だけ",1,1,0,1
Q42,決断時は？,"迷う",2,0,1,0,"即決",0,2,0,1
Q43,頭の中は？,"散らかっている",1,0,1,1,"整理されている",2,1,0,0
